low_p,large_p,low_less,high_less,max_title,replace_title,win_rate,old_wins,new_wins,draws
1,2,1,3,3,5,46.0,51,46,0
1,2,2,3,4,5,46.0,45,46,4
1,3,1,4,3,5,46.0,50,46,3
1,5,1,3,2,5,46.0,46,46,4
1,5,3,4,3,5,46.0,51,46,3
1,6,0,1,4,5,46.0,48,46,5
1,6,3,5,4,5,46.0,48,46,4
1,7,2,3,3,4,46.0,47,46,4
1,8,4,5,4,5,46.0,50,46,1
1,9,0,4,3,5,46.0,45,46,5
1,9,2,5,3,4,46.0,46,46,7
2,3,0,2,3,5,46.0,45,46,4
2,3,0,2,4,5,46.0,42,46,5
2,3,1,3,4,5,46.0,49,46,3
2,4,1,3,4,5,46.0,48,46,3
2,5,4,5,3,4,46.0,50,46,3
2,6,0,1,3,5,46.0,47,46,4
2,6,1,2,4,5,46.0,47,46,7
2,6,2,3,4,5,46.0,49,46,5
2,6,2,4,3,5,46.0,50,46,3
2,7,0,2,3,5,46.0,45,46,5
2,9,0,1,3,4,46.0,50,46,2
3,5,0,2,4,5,46.0,46,46,7
3,5,2,3,2,4,46.0,50,46,3
3,7,0,3,3,4,46.0,51,46,1
3,7,2,3,3,4,46.0,49,46,3
3,9,2,3,3,4,46.0,50,46,2
4,5,0,1,3,4,46.0,44,46,7
4,7,0,1,4,5,46.0,49,46,4
4,7,1,2,4,5,46.0,48,46,1
4,9,0,1,3,5,46.0,44,46,5
5,6,1,2,3,4,46.0,46,46,3
5,7,0,1,3,5,46.0,49,46,3
5,7,0,2,2,3,46.0,48,46,3
5,8,0,1,4,5,46.0,46,46,4
5,8,2,5,3,4,46.0,47,46,5
5,9,0,2,4,5,46.0,49,46,4
0,1,0,2,3,5,45.0,49,45,4
0,1,0,4,4,5,45.0,47,45,4
0,1,2,4,4,5,45.0,49,45,4
0,2,0,4,2,4,45.0,47,45,6
0,2,0,4,4,5,45.0,48,45,6
0,2,1,5,3,5,45.0,53,45,1
0,3,0,5,3,4,45.0,43,45,3
0,3,1,2,3,4,45.0,50,45,4
0,3,2,4,3,5,45.0,48,45,5
0,4,0,5,4,5,45.0,49,45,4
0,4,1,4,3,5,45.0,49,45,3
0,4,1,5,2,4,45.0,54,45,1
0,4,2,4,2,5,45.0,55,45,0
0,4,2,4,3,5,45.0,50,45,4
0,5,0,3,3,5,45.0,45,45,3
0,5,1,3,3,4,45.0,48,45,6
0,5,1,4,3,4,45.0,49,45,3
0,5,2,3,4,5,45.0,51,45,3
0,6,1,4,2,4,45.0,48,45,5
0,6,2,5,3,5,45.0,49,45,3
0,7,0,3,2,5,45.0,50,45,3
0,7,0,4,4,5,45.0,47,45,5
0,7,1,4,4,5,45.0,49,45,3
0,7,1,5,3,4,45.0,50,45,4
0,7,2,5,3,5,45.0,48,45,5
0,8,0,4,3,4,45.0,48,45,5
0,8,2,3,3,4,45.0,50,45,4
0,9,0,5,3,5,45.0,51,45,4
1,2,4,5,4,5,45.0,48,45,3
1,3,2,5,3,4,45.0,53,45,1
1,3,3,5,3,5,45.0,54,45,1
1,5,1,4,3,4,45.0,45,45,8
1,5,1,5,3,4,45.0,47,45,4
1,6,0,2,4,5,45.0,43,45,9
1,6,0,3,3,4,45.0,47,45,6
1,6,1,3,3,5,45.0,47,45,7
1,6,1,5,2,4,45.0,46,45,6
1,8,0,5,3,5,45.0,53,45,2
1,8,0,5,4,5,45.0,50,45,4
1,8,1,2,2,4,45.0,52,45,2
1,9,1,2,4,5,45.0,44,45,11
2,3,0,2,2,4,45.0,49,45,3
2,3,3,4,2,4,45.0,51,45,3
2,3,3,4,3,4,45.0,43,45,9
2,5,0,1,3,5,45.0,47,45,6
2,5,0,3,4,5,45.0,51,45,2
2,5,0,4,3,4,45.0,50,45,2
2,6,1,3,4,5,45.0,50,45,1
2,7,0,1,3,4,45.0,50,45,5
2,9,0,1,4,5,45.0,49,45,3
2,9,2,4,3,4,45.0,51,45,2
3,4,0,2,4,5,45.0,51,45,3
3,4,1,4,4,5,45.0,47,45,4
3,5,0,1,3,5,45.0,51,45,2
3,6,1,4,4,5,45.0,50,45,1
3,6,2,3,4,5,45.0,48,45,7
3,7,0,1,4,5,45.0,48,45,6
3,8,2,5,4,5,45.0,49,45,2
3,9,2,5,4,5,45.0,48,45,2
4,5,0,1,3,5,45.0,51,45,4
4,5,0,3,2,3,45.0,48,45,5
4,5,0,3,3,5,45.0,51,45,1
4,6,0,1,3,4,45.0,47,45,5
4,6,1,2,3,5,45.0,46,45,7
4,8,0,1,4,5,45.0,47,45,5
4,8,3,4,3,4,45.0,49,45,3
4,9,0,1,4,5,45.0,46,45,6
4,9,1,2,3,4,45.0,48,45,4
5,6,0,1,4,5,45.0,52,45,2
5,6,0,2,4,5,45.0,44,45,10
5,7,0,2,3,4,45.0,51,45,2
5,8,0,2,3,4,45.0,48,45,2
5,8,0,3,3,4,45.0,47,45,4
5,8,1,3,3,4,45.0,47,45,5
5,8,2,3,3,4,45.0,51,45,2
5,9,1,4,3,5,45.0,53,45,2
5,9,2,4,3,4,45.0,48,45,6
0,1,0,3,2,3,44.0,52,44,4
0,1,0,5,4,5,44.0,50,44,1
0,1,1,3,3,5,44.0,48,44,7
0,1,1,5,3,4,44.0,51,44,3
0,1,4,5,3,5,44.0,50,44,5
0,2,0,4,3,4,44.0,49,44,4
0,2,1,4,2,3,44.0,48,44,7
0,2,1,5,2,4,44.0,50,44,4
0,2,3,5,3,5,44.0,49,44,4
0,3,0,1,3,4,44.0,52,44,4
0,3,0,3,4,5,44.0,48,44,6
0,3,0,4,2,4,44.0,49,44,6
0,3,0,4,3,5,44.0,49,44,3
0,3,1,4,4,5,44.0,47,44,6
0,3,2,3,2,3,44.0,48,44,5
0,4,0,1,3,4,44.0,50,44,5
0,4,0,2,2,5,44.0,48,44,4
0,4,0,2,3,4,44.0,48,44,5
0,4,0,2,3,5,44.0,47,44,5
0,4,1,2,4,5,44.0,47,44,4
0,4,1,5,3,4,44.0,46,44,6
0,5,2,3,2,4,44.0,49,44,5
0,5,2,5,4,5,44.0,49,44,4
0,5,3,4,3,5,44.0,45,44,6
0,5,3,5,3,4,44.0,49,44,4
0,6,0,3,4,5,44.0,49,44,5
0,6,0,4,3,5,44.0,52,44,3
0,6,1,5,3,4,44.0,52,44,3
0,6,2,3,2,5,44.0,49,44,2
0,6,2,5,2,4,44.0,53,44,2
0,7,0,2,2,4,44.0,46,44,6
0,7,1,3,3,4,44.0,47,44,5
0,7,1,3,4,5,44.0,48,44,6
0,7,1,4,3,5,44.0,53,44,1
0,7,1,5,4,5,44.0,51,44,3
0,7,2,4,3,4,44.0,52,44,3
0,8,0,1,2,5,44.0,44,44,6
0,8,0,5,4,5,44.0,48,44,6
0,9,0,5,2,5,44.0,49,44,7
0,9,1,3,3,4,44.0,51,44,3
0,9,1,5,2,3,44.0,54,44,2
0,9,2,5,3,4,44.0,47,44,7
1,2,1,5,3,4,44.0,51,44,2
1,4,0,1,3,4,44.0,50,44,5
1,5,0,1,4,5,44.0,46,44,5
1,5,0,3,4,5,44.0,51,44,3
1,5,3,4,4,5,44.0,50,44,2
1,6,1,2,2,3,44.0,49,44,3
1,7,0,1,3,4,44.0,47,44,4
1,7,0,2,2,3,44.0,49,44,4
1,7,1,3,3,4,44.0,49,44,2
1,7,2,4,4,5,44.0,52,44,3
1,7,3,4,3,5,44.0,52,44,2
1,8,0,4,4,5,44.0,49,44,4
1,8,2,3,3,4,44.0,55,44,0
1,8,2,3,3,5,44.0,53,44,1
1,9,0,5,3,5,44.0,51,44,3
1,9,3,4,3,5,44.0,49,44,4
2,3,0,2,2,5,44.0,46,44,5
2,4,0,2,3,5,44.0,49,44,7
2,4,0,3,4,5,44.0,50,44,1
2,4,1,2,4,5,44.0,50,44,4
2,4,2,3,3,5,44.0,49,44,4
2,5,1,4,4,5,44.0,50,44,3
2,6,1,5,3,4,44.0,52,44,2
2,7,1,3,3,4,44.0,52,44,2
2,8,0,2,2,4,44.0,49,44,3
2,8,0,3,3,4,44.0,47,44,7
2,9,1,2,3,5,44.0,48,44,3
2,9,1,3,4,5,44.0,48,44,6
3,4,0,1,2,3,44.0,46,44,5
3,4,1,3,3,5,44.0,53,44,0
3,5,0,5,3,4,44.0,52,44,3
3,7,0,2,3,4,44.0,50,44,5
3,7,0,3,4,5,44.0,48,44,7
3,8,1,2,3,4,44.0,50,44,4
4,5,0,2,3,4,44.0,53,44,0
4,5,2,3,4,5,44.0,51,44,3
4,6,0,4,4,5,44.0,52,44,3
4,6,1,5,4,5,44.0,51,44,2
4,7,2,3,3,4,44.0,46,44,8
4,7,2,4,4,5,44.0,48,44,3
4,9,0,2,3,5,44.0,49,44,3
5,7,1,2,2,4,44.0,52,44,2
5,8,2,4,3,5,44.0,53,44,2
5,8,3,4,3,4,44.0,49,44,5
5,9,1,2,3,4,44.0,52,44,2
0,1,0,1,3,4,43.0,53,43,4
0,1,0,4,3,4,43.0,48,43,3
0,1,1,2,2,4,43.0,51,43,5
0,1,1,4,4,5,43.0,51,43,2
0,1,2,5,3,4,43.0,50,43,5
0,1,3,5,3,5,43.0,49,43,4
0,1,4,5,3,4,43.0,49,43,3
0,2,0,4,3,5,43.0,48,43,6
0,2,0,5,3,4,43.0,52,43,4
0,2,1,3,3,5,43.0,53,43,2
0,2,1,3,4,5,43.0,50,43,3
0,2,1,4,3,4,43.0,55,43,0
0,2,2,4,3,4,43.0,50,43,6
0,3,2,4,2,4,43.0,54,43,1
0,3,2,4,4,5,43.0,48,43,5
0,4,0,1,3,5,43.0,53,43,2
0,4,0,4,2,4,43.0,49,43,5
0,4,2,5,3,4,43.0,48,43,4
0,5,0,1,3,4,43.0,51,43,5
0,5,0,2,4,5,43.0,51,43,6
0,5,0,5,2,5,43.0,48,43,6
0,6,0,1,2,4,43.0,52,43,2
0,6,1,2,3,5,43.0,53,43,2
0,6,1,4,3,4,43.0,55,43,0
0,6,1,5,4,5,43.0,55,43,1
0,6,3,4,3,4,43.0,48,43,6
0,6,3,4,3,5,43.0,54,43,2
0,7,0,1,3,5,43.0,50,43,5
0,7,0,5,2,3,43.0,49,43,6
0,7,1,3,3,5,43.0,51,43,5
0,7,2,4,4,5,43.0,48,43,7
0,7,3,4,3,5,43.0,44,43,7
0,7,3,5,4,5,43.0,52,43,3
0,8,0,2,2,3,43.0,52,43,3
0,8,0,2,2,5,43.0,48,43,6
0,8,1,5,4,5,43.0,51,43,2
0,8,4,5,3,4,43.0,52,43,3
0,9,0,1,4,5,43.0,50,43,5
0,9,0,5,3,4,43.0,51,43,3
0,9,2,3,2,5,43.0,48,43,7
0,9,2,3,3,4,43.0,46,43,5
0,9,2,4,4,5,43.0,53,43,3
0,9,3,5,2,3,43.0,51,43,5
1,2,0,3,4,5,43.0,45,43,7
1,2,1,5,4,5,43.0,48,43,7
1,3,0,3,3,4,43.0,55,43,1
1,3,0,3,4,5,43.0,53,43,3
1,3,1,3,3,5,43.0,52,43,3
1,4,0,4,4,5,43.0,51,43,3
1,4,1,2,4,5,43.0,53,43,3
1,4,1,4,3,4,43.0,52,43,4
1,4,1,5,4,5,43.0,48,43,7
1,5,0,1,3,5,43.0,48,43,6
1,5,2,3,3,4,43.0,48,43,5
1,5,2,4,3,4,43.0,53,43,4
1,5,2,5,3,4,43.0,56,43,1
1,6,0,3,4,5,43.0,54,43,2
1,6,0,4,4,5,43.0,47,43,8
1,6,1,3,2,3,43.0,52,43,1
1,6,1,4,3,5,43.0,54,43,3
1,6,2,3,2,3,43.0,53,43,1
1,7,0,4,3,5,43.0,53,43,3
1,7,2,3,2,4,43.0,50,43,1
1,8,0,2,4,5,43.0,52,43,4
1,8,0,3,4,5,43.0,52,43,3
1,8,1,5,4,5,43.0,54,43,0
1,9,1,3,3,4,43.0,49,43,3
1,9,1,3,3,5,43.0,55,43,1
2,4,0,1,2,5,43.0,51,43,2
2,4,1,3,3,4,43.0,50,43,6
2,5,2,5,4,5,43.0,47,43,4
2,6,2,3,2,5,43.0,51,43,1
2,7,0,2,2,3,43.0,49,43,3
2,7,1,5,3,5,43.0,53,43,2
2,7,3,4,3,5,43.0,48,43,6
2,8,1,2,2,5,43.0,50,43,3
2,8,1,3,3,5,43.0,51,43,4
2,8,2,3,3,4,43.0,51,43,5
2,8,2,5,3,4,43.0,52,43,3
2,9,0,4,3,4,43.0,48,43,7
2,9,0,4,3,5,43.0,48,43,5
2,9,1,4,3,5,43.0,51,43,2
2,9,1,4,4,5,43.0,52,43,4
2,9,3,4,3,4,43.0,54,43,3
2,9,3,4,3,5,43.0,53,43,2
2,9,3,4,4,5,43.0,50,43,3
3,4,1,2,3,5,43.0,47,43,6
3,4,2,3,3,4,43.0,53,43,1
3,6,0,2,4,5,43.0,52,43,2
3,6,1,2,3,4,43.0,50,43,6
3,7,0,1,3,5,43.0,47,43,4
3,7,0,2,2,4,43.0,53,43,2
3,7,1,2,3,4,43.0,53,43,4
3,7,1,3,3,5,43.0,54,43,1
3,8,0,2,4,5,43.0,50,43,3
3,8,0,3,3,4,43.0,50,43,4
3,8,0,4,3,5,43.0,53,43,0
3,8,2,3,2,4,43.0,54,43,1
3,8,2,3,3,5,43.0,53,43,2
3,8,2,4,3,4,43.0,51,43,5
3,8,4,5,3,5,43.0,56,43,1
3,9,0,2,4,5,43.0,52,43,4
3,9,0,4,3,5,43.0,47,43,5
3,9,0,5,3,4,43.0,52,43,4
3,9,1,2,3,5,43.0,45,43,10
3,9,2,4,3,5,43.0,51,43,5
4,5,1,2,4,5,43.0,49,43,6
4,6,0,3,3,4,43.0,53,43,3
4,7,0,4,3,5,43.0,52,43,5
4,7,2,3,4,5,43.0,53,43,3
4,7,2,4,3,4,43.0,49,43,6
4,9,2,3,3,5,43.0,53,43,2
5,6,0,2,2,4,43.0,51,43,4
5,6,1,4,4,5,43.0,50,43,5
5,6,3,4,3,5,43.0,53,43,3
5,7,0,4,3,4,43.0,53,43,4
5,7,1,3,3,5,43.0,51,43,3
5,8,2,5,4,5,43.0,53,43,2
5,9,0,3,3,5,43.0,51,43,2
5,9,0,3,4,5,43.0,51,43,4
0,1,0,5,3,4,42.0,52,42,1
0,1,1,3,3,4,42.0,54,42,3
0,1,1,3,4,5,42.0,52,42,5
0,1,2,5,2,3,42.0,53,42,3
0,1,2,5,2,5,42.0,53,42,2
0,2,0,2,3,4,42.0,52,42,4
0,2,0,2,3,5,42.0,53,42,3
0,2,0,3,4,5,42.0,52,42,5
0,2,1,2,3,5,42.0,53,42,3
0,3,0,1,2,5,42.0,50,42,4
0,3,0,1,3,5,42.0,50,42,5
0,3,0,2,3,4,42.0,49,42,5
0,3,1,2,4,5,42.0,51,42,6
0,3,2,3,4,5,42.0,54,42,2
0,3,2,4,2,5,42.0,49,42,6
0,4,0,1,4,5,42.0,52,42,2
0,4,0,5,2,5,42.0,51,42,6
0,4,1,4,4,5,42.0,50,42,7
0,4,2,5,2,4,42.0,51,42,6
0,4,4,5,3,5,42.0,52,42,4
0,5,0,1,4,5,42.0,54,42,3
0,5,0,5,2,4,42.0,52,42,4
0,5,1,2,4,5,42.0,50,42,5
0,5,1,4,2,3,42.0,49,42,6
0,5,2,3,3,4,42.0,55,42,3
0,5,2,5,3,4,42.0,51,42,4
0,5,3,4,3,4,42.0,48,42,9
0,5,3,5,2,5,42.0,54,42,3
0,5,4,5,3,4,42.0,53,42,2
0,6,0,2,4,5,42.0,52,42,5
0,6,0,5,3,4,42.0,51,42,4
0,6,2,3,3,4,42.0,52,42,3
0,6,2,4,3,4,42.0,52,42,4
0,7,1,4,2,4,42.0,55,42,2
0,7,1,5,3,5,42.0,53,42,4
0,7,3,5,3,5,42.0,56,42,1
0,8,0,1,2,3,42.0,52,42,4
0,8,0,1,2,4,42.0,50,42,4
0,8,0,1,3,5,42.0,49,42,5
0,8,0,3,4,5,42.0,48,42,4
0,8,1,4,2,3,42.0,48,42,5
0,8,3,4,2,5,42.0,55,42,2
0,8,3,4,3,4,42.0,52,42,5
0,8,3,5,3,5,42.0,50,42,8
0,9,1,2,2,4,42.0,52,42,4
0,9,1,2,2,5,42.0,51,42,5
0,9,1,3,4,5,42.0,50,42,6
0,9,2,4,2,4,42.0,51,42,4
0,9,3,4,3,5,42.0,45,42,8
1,2,0,3,3,4,42.0,56,42,1
1,2,1,3,4,5,42.0,50,42,5
1,3,0,1,2,3,42.0,54,42,2
1,3,0,2,4,5,42.0,48,42,10
1,3,0,4,3,4,42.0,55,42,2
1,3,0,5,3,5,42.0,49,42,5
1,3,1,3,4,5,42.0,52,42,3
1,3,3,4,3,4,42.0,49,42,7
1,4,0,4,3,5,42.0,53,42,2
1,4,0,5,4,5,42.0,53,42,3
1,5,0,4,4,5,42.0,49,42,5
1,5,1,4,2,3,42.0,50,42,5
1,6,0,4,3,4,42.0,56,42,1
1,6,3,5,3,5,42.0,52,42,2
1,7,1,2,3,5,42.0,52,42,3
1,7,2,5,2,4,42.0,53,42,3
1,8,0,4,3,4,42.0,50,42,6
1,8,0,4,3,5,42.0,47,42,6
1,8,1,2,3,4,42.0,51,42,3
1,8,1,4,3,4,42.0,49,42,6
1,8,2,3,4,5,42.0,50,42,3
1,8,3,4,3,4,42.0,50,42,5
1,9,0,1,3,5,42.0,57,42,1
1,9,0,4,4,5,42.0,49,42,8
1,9,1,2,3,5,42.0,51,42,3
1,9,1,5,4,5,42.0,54,42,3
1,9,2,3,4,5,42.0,51,42,5
1,9,3,5,3,5,42.0,52,42,3
2,3,0,1,2,3,42.0,52,42,5
2,3,0,2,3,4,42.0,52,42,3
2,4,0,3,3,5,42.0,55,42,1
2,4,0,5,4,5,42.0,54,42,3
2,4,2,5,3,4,42.0,51,42,5
2,5,0,2,3,4,42.0,52,42,4
2,5,1,3,4,5,42.0,48,42,5
2,5,1,5,4,5,42.0,52,42,5
2,5,3,5,4,5,42.0,50,42,4
2,6,0,1,4,5,42.0,52,42,5
2,6,0,3,3,5,42.0,56,42,1
2,6,0,5,3,5,42.0,51,42,2
2,6,2,4,4,5,42.0,53,42,2
2,6,2,5,3,5,42.0,51,42,4
2,6,3,4,4,5,42.0,54,42,2
2,7,0,3,2,3,42.0,52,42,1
2,7,2,3,3,5,42.0,52,42,4
2,8,0,1,3,5,42.0,54,42,2
2,8,0,2,4,5,42.0,53,42,4
2,8,1,2,3,5,42.0,53,42,5
2,8,1,4,4,5,42.0,52,42,2
2,8,2,3,2,4,42.0,55,42,3
2,9,0,1,2,3,42.0,53,42,2
2,9,1,5,3,5,42.0,55,42,2
2,9,2,3,3,4,42.0,52,42,4
3,4,0,2,3,4,42.0,53,42,4
